Aache Aanwas Aaron Abaet Abarden 
Atgur Athana Athane Athen Atherni 
Athiss Atiaran Atiarn Atili Atlantes 
Atlin Aton Ator Atrak Attacotti 
Attew Attila Auburn Auchfor Auden 
Audh Augustus Ault Auma Aurelius 
Aurion Aurora Austill Austri Autumntide 
Auvien Avedar Avel Aveline Avil 
Avitus Avllach Avon Avride Avtar 
Awile Awnia Axeth Ayat Ayesh 
Ayesha Ayne Ayrie Aysen Azhar 
Azimir Azreal Azuela Bacohl Badeek 
Baduk Baeron Bahir Bahrair Baily 
Balain Balati Balderon Baldulf Baldur 
Ballar Balzar Bam-Bam Ban Bana 
Bando Bane Banheen Banipal Bann 
Bannor Bar Baradakas Baradeer Barak 
Barakah Baralan Baram Barbo Barboda 
Barcer Bardar Barebranch Baren Barfolomul 
Bari Barim Barinthus Barkydle Barlo 
Barnabas Barph Barty Baru Baruch 
Basden Basete Basil Baskin Basse 
Basturn Bathelie Battan Baudi Baugi 
Bavmorda Bawenni Baxter Bayde Beac 
Beak Beaknose Beate Beatric Beck 
Bedegran Bedic Bedivere Bedwyr Beeron 
Beeta Behine Bein Bek Bekki 
Beli Belissa Bella Bellenzor Belor 
Belrene Beltane Belug Belyn Ben 
Benard Bennor Benth Beolann Beona 
Beowulf Berch Berek Berenmil Berenwick 
Berez Berg Berhodrick Berk Berle 
Bern Bertram Beson Besur Besurlde 
Beth Bethe Bets Betsy Bevin 
Bewul Beyla Bianca Biblo Biedgar 
Biel Biff Bildon Bili Bimpfoodle 
Birinair Biston Bita Bithon Bitio 
Blackstone Blade Blaide Blain Blair 
Blaise Blak Blanche Blane Blaze 
Bleda Blek Blissia Boadill Boal 
Boaldelr Boddyjon Boden Bodie Bodus 
Boern Boethuis Bog Boin Boliva 
Boll Bollinar Bolrock Bolthorn Bolu 
Bolwerk Bomar Bonly Borel Borin 
Boris Bormor Borne Boro Bors 
Boru Bourc Brabha Bradley Braeker 
Braggi Bragi Brahil Brakdern Bran 
Brana Brand Brane Brannel Brav 
Brave Breagan Breanon Bredere Bredin 
Bredock Breek Breen Brega Brenbard 
Brendan Brendar Bres Bretwalda Brianan 
Briarman Bridonna Brie Brigadore BrightHelm 
Brightmaster Brighton Brightspot Brill Brin 
Brine Brinn Briseis Bristan Brithna 
Brittany Broddi Brodir Bron Brosa 
Brucius Bruk Brutus Brynhilde Brynnda 
Brytta Bucelus Buchmeid Bue Bunkman 
Burbhin Buren Burglekutt Burhan Burk 
Buser Bush Bushe Busma Buthomar 
Bydern Cabolus Cadate Caddor Cade 
Caden Cadria Caecilius Cael Caelholdt 
Caelon Caen Caer Caere Caerno 
Caerroil Caf'es Cafe' Cahir Cail 
Caino Cainon Caiora Caladon Calcompton 
Calcul Calden Caleb Calen Calene 
Calgaron Caliban Calina Caliron Calla 
Callindrill Callipygia Calls Calnor Calon 
Calonet Cambreard Camchak Camelie Camilde 
Camus Camyal Canda Candaree Candelis 
Candor Cannon Canute Capad Capet 
Capid Capide Caracatus Carace Caradec 
Carakin Caramon Carcslain Carde Cardon 
Caret Cariki Caris Carl Carly 
Carna Carnen Caro Carpo Carrai 
Carrie Carson Carsys Cart Carte 
Carter Carthag Casca Casden Caspardrug 
Cassair Casta Casties Castrich Casy 
Catchclaw Catherine Cathwar Catos Cavem 
Caveral Cavil Cayla Caylus Cayold 
Cear Cedric Ceel Ceer Cei 
Celbahr Celdarin Celeb Celere Celeren 
Celestine Celinn Celise Cell Celoa 
Celorn Celsus Celthric Cemark Cenu 
Ceoline Cephenrene Cercan Cerdern Cerdic 
Cereb Cereben Ceremon Cern Cernon 
Cerrin Cert Cervek Cespar Cether 
Cevelt Ch'ian Chagor Chakili Chal 
Cham Chamon Chance Chang 
Chani Chant Char Chardu Chare 
Charford Charis Charlemagne Chartiphon Chary 
Chastitie Chatt Cheddar Chekhov Chengai 
Cherem Cherlinar Cherlindrea Chesmarn Chidak 
Chirp Chivahle Chrodra Chronet Chronos 
Chrynn Chrystyne Chusuk Chymas Ciatha 
Cibrock Cid Cider Cile Cino 
Cinon Cipyar Circa Circe Cirda 
Ciroc Ciron Clanica Clare Clarnleef 
Clathin Claudius Clay Clere Cliff 
Cloin Clomen Cloudshape Clovis Coatl 
Cobbder Cobbman Coda Codach Code 
Codern Cognious Cohan Cohen Coi 
Colberane Coledac Colin Coll Collen 
Collur Colmen Colriolis Colthan Columba 
Columbia Come Comperri Comri Con 
Cona Conan Concaline Cone Coni 
Conn Connell Conon Conquaine Constantine 
Constantius Coper Copernicua Copernicus Coppereye 
Corage Corand Corann Cord Corda 
Cordale Corimini Corineus Coriolis Corith 
Cormach Cormann Cornelius Coron Corphrim 
Corrigad Cortes Corwin Corydar Corydar 
Cos Cosdeer Coseecer Cosine Cotal 
Cotan Cotterall Covenant Cowal Crag 
Crage Craig Crandall Crede Crimax 
Croesus Crofta Cromine Cron Crondon 
Crowl Cruaver Crudak Cruni Cuall 
Cuna Cune Cunedda Cuparun Cusmirk 
Custennin Cutte Cybel Cydare Cyelena 
Cylmar Cymel Cyndi Cynth Cyrtina 
Cyrus Cythnar Cyton Daburn Dacer 
Dacia Daermalkin Daermod Daero Daerto 
Dafyd Dag Dagar Dager Dagh 
Dagnall Dague Dagus Dahgir Daide 
Daikini Dailia Dak Dakamon Dakkone 
Dalamar Dalavesta Dalburn Dalla Dallpen 
Dalmarn Dama Damelon Damenae Dami 
Damon Danan Danaw Dando Danial 
Daniel Daniger Danner Danony Dante 
Danthragnir Dantice Daon Daphin Dapvhir 
Darar Darda Dareene Dargo Dari 
Darin Darion Darius Dark Darkblade 
Darkbone Darkboon Darkkon Darkmage Darkmoore 
Darko Darkspur Darmor Darora Darpick 
Darr Darra Darrin Darset Darsin 
Darste Darth Darthe Darult Darven 
Darvon Dasbeck Dask Dathony Daud 
Daun Dauron Davae Davic Davics 
David Dawes Dawn Dawnflower Dawns 
Dawnwind Dazos Dearog Deart Deathmar 
Decuis Deerslayer Deeval Defearon Degan 
Deik Del Delaneen Delebrith Deler 
Dellin Delphis Delsheevah Deltix Delv 
Dema Denast Denderah Dengold Deoger 
Deon Derel Derik Derlynnet Dermit 
Derokin Derrin Derset Derth Dertha 
Derthe Desil Desini Dessfar Deucalion 
Devell Devrel Dharan-sar Dhart Dhrozna 
Dhyana Dhyne Didion Diloen Dilon 
Dilvish Dima Dime Dimjon Dimth 
Dimura Dinfar Dinth Dinyr Dira 
Direst Dirist Dismer Distant Distran 
Doar Doble Doceon Dochrohan Doiran 
Dokoran Dolman Dolsa Domin Donser 
Donya Dore Doregren Doright Dorn 
Dorsat Dorset Doshack Dosoman Dougen 
Douger Douphra Draco Dracula Drae 
Draedan Drak Drake Drakoe Drakone 
Drandon Drave Draven Dravon Drazil 
Drew Driel Drienel Drim Drin 
Drinishok Drinny Drit Dritz Driz 
Drizzt Drocta Drogan Drogo Droma 
Dron Drool Drophar Dru Druk 
Drumma Drunen Drunhilde Drusilla Druth 
Druwain Dryden Dryn Dryope Duach 
Duald Duarin Duba Duftah Dukran 
Dulia Dumas Dunaut Duncan Dunewalker 
Dunge Dungon Duorn Dura Duran 
Durar Durathor Durek Durian Durmark 
Durris Dusaro Dutch Duvado Duvagel 
Duvani Duzedrawse Dwalin Dwarl Dwobble 
Dwobwicket Dwort Dyfar Dylena Dynar 
Dynera Dyten Eadric Eagle Eamon 
Ear Eard Earnan Eart Eashaft 
Eashasft Eatle Ebatryne Ebeth Ebog 
Eborane Ebow Ecematare Echule Eckard 
Ectorius Edaece Edan Edar Edarph 
Eddra Ede Eder Edoc Edorin 
Edra Edward Edwin Eevel Efamar 
Efar Efari Effronin Efnie Eglea 
Egmardern Eidanel Eiddon Eillian Eilong 
Eira Eiric Eiridan Eiron Eisa 
Eithne Ekgamut Eklake Eksaar Elac 
Elantir Elati Elderon Eldin Eldramor 
Eldrin Eleg Elen Elena Elerach 
Elet Elflaine Elfodd Elgo Eli 
Elik Elisne Elius Ellen Ellia 
Ellidyr Ellie Ellyjoo Ellywicket Elman 
Elnibera Elo Eloka Elora Elphin 
Elronhir Elsa Elson Elthin Elune 
Elveen Elward Elyon Embar Emmene 
Emon Emyys Enaldie Enbane Encantam 
Enda Endor Endra Endymythalion Engle 
Engoliothil Enidin Enoka Enoon Enoona 
Enril Enro Enton Eogan Eogar 
Eoman Eorinn Ephram Equate Equebus 
Eradan Erebos Eregdor Ergar Ergoth 
Eric Erich Erik Erikarn Erill 
Erim Eritai Erle Ermin Ermit 
Eron Errinaya Erro Erthe Erus 
Eryn Esatte Escariet Esdros Esele 
Esnar Espardo Essault Esthila Estidh 
Etar Etburn Etdar Etgarrai Ethen 
Ethesa Ethna Etmere Etran Etrigan 
Ette Eudock Evarudt Evet Ewall 
Eyndy Eythil Fabienne Fac Facent 
Facer Fadukes Fael Faer Faermate 
Faeroh Faeron Faex Fafnin Fafnir 
Faheem Faid Fairflank Fajor Falan 
Falat Falcon Fallan Fallowry Fangred 
Fant Faolin Faoturk Faowind Faran 
Farate Faravinn Fargo Farin Farn 
Farret Farse Farshadow Farth Fasner 
Fassen Fasten Fater Fath Fault 
Faust Faux Faver Fawks Fayne 
Fearlock Feart Fedaykin Feilyn Feldor 
Felixmarte Felor Fenia Fenrirr Fer 
Ferdinand Ferg Ferless Fern Ferny 
Feron Ferrate Ferret Fetchstorm Feth 
Fetil Fetmar Feturn Fhain Fhastine 
Fiacus Fiana Fiannah Ficadon Fickfylo 
Fie Fient Figire Fildon Fimbe 
Findail Findal FinFanFoom Finmottin Finn 
Finrink Finwocket Firedorn Firiro Firon 
Fistor Fizban Fizbo Flandrena Flavio 
Floki Floran Flosi Foel Folden 
Fole Folmard Fomdey Fon Fonni 
Font Fonya Forer Forseti Forthe 
Fother Fovor Fract Fraderk Frake 
Frater Frather Frealaf Freasse Freca 
Frederika Fredrick Freedom Freeke Freen 
Frey Freyja Frida Frikin Frish 
Frith Frodo Fronal Fronar Frost 
Froth Frufalcon Fudder Fuker Fukstoan 
Fukui Fullengarten Fuller Funith Furl 
Fydar Fyn Fynnete Gaelanon Gaelinar 
Gaer Gaese Gaess Gaet Gaethaa 
Gafolern Gagar Gai Galach Galadren 
Galain Galanna Galar Galderon Galdwulf 
Galen Galet Galileo Galion Galiron 
Gallovinn Gallowglas Gallowglass Galron Galzar 
Gametris Gamic Gammer Gandalf Ganieda 
Ganith Gann Gantholion Gardan Garden 
Gare Garel Garendi Gareth Garishaw 
Garith Garley Garm Garrar Garth 
Garwocket Gash Lark Gaskite Gaspani Gast 
Gaston Gath Gauthus Gavein Gaven 
Gavin Gawain Gay Gaynor Gean 
Gebeth Ged Geirrod Gelderon Gemardt 
Gemedern Gemedes Gemma Gene Genghis 
Genlon Genselda Gerald Geri Gerirr 
Germe Gern Gern-y-fhain Geront Gerontius 
Gerpin Gesell Gessane Getale Geth 
Gette Ghant Ghata Ghazanvi Ghulen 
Gib Gibbon Gibolock Gibolt Giga Gash 
Gilden Gildor Gilgamesh Gillan Gilmesh 
Gilthanas Gimli Gina Gine Ginger 
Gith Glanern Glius Gloria Gloriatha 
Gloryaxe Glose Gloth Gnar Gode 
Godestere Godhilder Godrech Gofannon Golas 
Golina Gollum Golush Gom Goman 
Gondel Gons Gorak Gorbash Gorfet 
Goriolo Gorlais Gorm Goroth Gorth 
Gortin Gosford Gosselyn Gothar Gothikar 
Gothsettan Goul Grabfoot Grace Gradule 
Gragold Graice Gralon Gramorn Granlon 
Grau Gravin Graymantle Greann Greenblade 
Greenbriar Greenvine Greeth Gregor Grement 
Gren Grenda Gresforn Grey Greyfell 
Greylock Greymalkin Grian Grilik Grimie 
Grimlock Grimm Grimman Grimmand Grimnir 
Grimwall Grimwulf Grog Grolim Gronalyn 
Gronf Gront Grosner Grumedan Grunag 
Grunen Gryn Gudus Gueda Guen 
Guese Guice Guillarmo Guilomar Guinevere 
Guistan Guldergrance Gulgonen Gumuor Gunasekera 
Gunde Gundir Gurgi Gurgwen Gurney 
Gurrath Gustfer Gustov Gusts Gutar 
Guthale Guthe Guy-Fern Gvene Gwain 
Gwalcmai Gwath Gwathard Gwathis Gwayhne 
Gweir Gwendha Gwendolau Gwennia Gwertra 
Gwethana Gwyddno Gwydion Gwystyl Gybol 
Gybrush Gyda Gyin Gymir Gymmer 
Hacer Hachiman Hacyon Hadoc Hadrian 
Hael Haert Haffis Hafgan Hagan 
Hagels Haiji Hairth Hal Hale 
Halete Halianor Halix Fang Halleck Hallgerd 
Halmar Halogia Haltach Hama Hamako 
Hamlet Hammer Hampshire Han Hane 
Hanlo Hannibal Hanny Hantal Haque 
Hardep Hardis Hardnoggin Hardon Harken 
Harmakros Harnway Harod Harold Harper 
Harrenhal Harven Hasten Haster Hathar 
Hathil Haunt Haunta Havassa Hawat 
Hawkwind Heast Heatrix Hectar Hecton 
Hector Hedd Heer Heft Hele 
Helenia Helm Helring Helskadi Heme 
Hengest Henry Hepac Hepec Heramon 
Herekin Herem Heres Hergrom Heridd 
Hermenze Hermes Hermuck Herod Heron 
Herty Herzog Hestophes Hezak Hianor 
Higra Hildale Hildandi Hildar Hile 
Hileict Hinate Hinge Hinon Hirga 
Hirn Hisle Hiterid Hithies Hitts 
Hjollder Hlok Hoarid Hob Hobben 
Hodgenik Hoekstra Hoel Hogon Hogun 
Hokora Holferne Holith Hollian Hollister 
Holly Holth Hon Honet Hor-em-akhet 
Horace Horatio Horben Horik Horium 
Horner Hornmar Hornt Horse Hort 
Hortalus Horus Hosage Hotsprings Hount 
Hower Howor Howpe Hrothgar Hrugan 
Huchaw Huctute Hugels Huithnil Hultor 
Huner Hunir Hunko Hunter Huor 
Hurn Hurnt Hustle Hutant Huyrn 
Hycar Hydale Hydaspes Hyksos Hymir 
Hynaril Hyrim Hyten Hyza Iambic 
Ian Iarmod Iarri Iason Idaho 
Iddec Ided Iden Idene Ididnet 
Idin Idint Idle Idon Idona 
Idric Idris Idun Ieli Ieserk 
Igon Igraine Igs Ihate Ijunt 
Ikar Ikarus Ike Ikini Ikko 
Ikul Ildwater Ilene Ilermath Ilester 
Ilgenar Iliendor Illearth Illia Illilorn 
Illium Ilron Imberwick Iminter Imler 
Imoiran Indhios Indra Indrius Infelice 
Ingel Ingle Ingles Inlan Inlind 
Insa Inse Inswich Intejag Inter 
Iolder Iona Ionythe Iosmut Ipedorn 
Ipsl Ir Irefist Irekain Ireland 
Irin Irk Irnys Iron Ironbrand 
Irone Ironmage Ironmark Isaac Isabeau 
Iscon Iseld Isen Isiah Isil 
Isma Issalt Ist Itazais Ithlot 
Ithric Itner Ivan Ivles Iwell 
Jabbert Jace Jacer Jacha Jacid 
Jacinth Jackson Jad Jada Jade 
Jain Jakom Jalil James Jamik 
Jamina Jamis Jamril Jandrel Janlove 
Janus Januviel Jarak Jared Jareth 
Jargo Jarlath Jarriel Jartin Jashoone 
Jason Jasper Jasyn Jayco Jayn 
Jaython Jazmine Jean Jeane Jeast 
Jedd Jelgo Jeliala Jen Jenan 
Jenansfer Jenethrim Jennyve Jesco Jespar 
Jesseman Jessica Jessika Jester Jethil 
Jex Jezzail Jezzine Jhan Jib 
Jibar Jin Jinter Jinx Jisma 
Jizm Jmais Joan Joast Joel 
Joeland Joele Joesai John Jok 
Joly Jon Jorad Joram Jorden 
Joriel Jormunrek Josc Joseph Josette 
Josh Jost Joyseysta Jshoone Jude 
Juel Juit Juktar Julia Juliam 
Juliet Julionne Julthor Jume Jun 
June Junio Junist Junius Junoi 
Junper Jurine Jurn Jusite Justal 
Justalyne Jytia Jzahlaren Kael Kafar 
Kafsal Kagya Kaitch Kakatal Kal 
Kala Kalan Kalantir Kaldar Kalieb 
Kalili Kalina Kalvan Kalyra Kam 
Kan Kandur Kantor Kapat Kaprin 
Karas Karden Kareth Karf Kargo 
Karis Karissa Karl Kasey Kassina 
Katah Kathathorn Kathein Katra Katsu 
Kavelin Kax Kayce Kazuyo Keal 
Keenedge Kekuda Kellan Keltan Keltus 
Keltz Kemper Kendos Kenneldor Kenobi 
Kens Keppa Keran Kerberos Kerl 
Kern Kerrinen Kesad Kesmon Kesrick 
Kessius Kethren Kethtaz Ketial Ketinella 
Ketlz Kevvy Kevward Khaine Khan 
Khris Khymir Khystros Kian Kiaya 
Kib Kibber Kibidon Kiden Kient 
Kilayox Kilbas Kilburn Kildarien Kilia 
Killrey Kilmer Kilyne Kimdar Kimura 
Kines King Kingsliege Kingurvind Kinorn 
Kins Kinwerd Kip Kippe Kirder 
Kirik Kiril Kiringard Kirk Kirra 
Kirsten Kirstwig Kirwendus Kisha Kisler 
Kith Kjarren Klass Klaus Klean 
Klemnor Klerak Klesteus Kletus Klion 
Klore Klose Klothe Knik Knorthur 
Knour Kodof Kokba Kolaren Kolmorn 
Konil Kontouche Kor Koral Korba 
Korell Koreth Korik Kornag Kothe 
Kountra Koutara Koutra Koydl Kram 
Krank Krash Krass Kreed Krekle 
Kressara Krile Krim Krinn Krishnan 
Krisiries Kristhanna Kristion Kro Krom 
Kronos Krush Krywood Kubkli Kur 
Kurr Kuruk Kuse Kuvar Kypros 
Kyrad Lackus Lacspor Laderic Laela 
Laelff Laelia Laelithra Laelyre Laenaya 
Laertes Lafornon Lagor Lahorn Lain 
Laissez-Faire Laithi Lajka Laki Lal 
Lance Lancelot Lando Landolfur Landoris 
Landrin Laner Lange Lanissiel Lanrthal 
Lanthal Laph Laracal Laren Largo 
Larina Lark Larson Lasuni Lath 
Launt Laured Laurelin Laurh Lavell 
Layne Lazarak Leach Leagment Lear 
Lebran Ledale Lefreth Left Legolas 
Leia Leif Leise Leit Lelani 
Lena Lenala Lenas Lenny Leo 
Leonard Leonardo Leonaro Leonien Leopopira 
Lephar Lephidiles Lept Lerin Lesh 
Lesphares Letnerr Leto Letor Leuke 
Leuvdar Levelys Levvo Lewinda Leynar 
Lhunig Lip Liban Licinius Lidorn 
Liet Lifity Lile Lily Limner 
Lin Lingar Linney Linor Linovahle 
Linyah Liphanes Lisma Lisp Listor 
Lithe Lithuir Litsa Livic Lizzie 
Lloyanda Lluara Loath Lob Loban 
Loerya Loetter Logang Logius Lohtur 
Loine Lokh Lolinda Lonavan Longin 
Longston Lookfar Loopzig Lor Loreena 
Loric Lorienith Lorne Losner Lossar 
Loth Lothard Louis Lox Lucan 
Lucius Lucky Luctost Ludokrin Lug 
Lugaid Luke Lull Lumax Lumbar 
Lunetta Luphildern Lupin Lurd Luster 
Luthe Luther Luxanustar Luxor Lycra 
Lyle Lylish Lyna Lynch Lynd 
Lyndi Lyne Lynessa Lynnie Maachal 
Mabon Macbeaust MacBeth Macci MacDuff 
Macer Macon Macsen Madarlon Maddox 
Mades Madhi Madis Madmartigan Madonnla 
Madric Madsa Madse Madukes Maelwys 
Mafar Magamp Mage Magius Magkain 
Maglos Magni Magnus Magus Magveil 
Maidukes Maildun Maina Malan Malander 
Malcuma Malfar Malistra Malki Malley 
Malvin Mandricardo Mane Mangarak Mango 
Mani Manien Mar Maran Marc 
Marce Marcelo Marco Marcus Mardder 
Marderdeen Mardha Mardin Mareberth Mareena 
Marena Margaret Margo Margolis Margonn 
Margott Marid Marien Maries Marik 
Markahn Markard Markdoon Marklin Markos 
Marli Marmund Marn Marney Marny 
Marophon Marr Marsh Marsidy Marte 
Marten Martine Marval Marwenfyw Masc 
Mashasen Mask Mason Matew Mathar 
Mathe Mathr Matthew Maud'dib Maugh 
Maugrim Maurain Maurice Maximillia Maximillina 
Maximus Mayda Mayga Mayn Mayre 
Mazhel Mcdonnega Meadcraft Mect Medain 
Medarin Medel Medhir Medin Medsa 
Medua Medwyn Meegosh Meets Meg 
Megelin Mehande Mehtyl Meinne Mekt 
Melathor Melatus Meliel Melisande Mellamo 
Mellind Melman Melvin Meme Memla 
Memor Mena Mene Menelaus Menlaus 
Mensa Mentle Menus Meowol Meragrand 
Merdon Meredigawn Merg Meri Meridan 
Meriel Merkesh Merlin Merlinna Merlon 
Merrilee Mery Merythe Mes'ard Mesah 
Mesech Mesophan Mesoton Messa Messchoro 
Metellus Metron Metshanal Meurig Meursault 
Mezo Mhill Mhoram Mi'talrythin Miattraddi 
Michael Micheal Michelangl Michelanglo Mick 
Mickal Middibell Midiga Mielo Migorn 
Milander Mildin Miler Millard Milo 
Mim Mimir Min Mina Mindukes 
Mine' Minga Minge Mingo Mink 
Minsk Minx Mip Miphates Mirayam 
MireBane Mirith Miritna Misary Mishayla 
Mist Mistbow Mistiss Mistweave Mitar 
Mitch Mitchh Mithanica Mitheor Mithra 
Modi Modred Modric Modru Modum 
Mogologolo Moira Moiron Mok Mokanna 
Molestorm Moll'ar Mollye Molti Momos 
Monas Moncaire Moncy Monga Mongo 
Montezuma Mony Moon Moondancer Moonfriend 
Moonshadow Moort Moraine Moranet Moranielen 
Morcant Morchan Morex Morga Morgain 
Morgan Morgur Morie Morin Morril 
Morth Mote Moushe Moyann Moyna 
Mryddren Muad'dib Mual Mudon Mufar 
Muhannad Mujarin Muluin Mundelin Mune 
Munstar Murgle Murky Murrin Murtan 
Murtle Musaeus Musky Mustle Musty 
Mutle Mylene Mylo Myonra Myrddin 
Myrshad Mythik Mythil Myvar Nacer 
Nachaloa Nacle Nadeer Nader Naeem 
Nafrat Nagic Nakkarra Nalfar Namorn 
Nana Nancy Nannor Naphates Napoleon 
Naria Narisa Narok Narthlis Nassic 
Nate Nato Naul Naw Neal 
Nebuchadnezzar Necari Necur Nefarus Neff 
Neivel Nelenna Neowyld Neral Nero 
Nerth Nerthus Nestle Neth Netherman 
Nette Nettina Netzigon Nevard Nevarious 
Nichelle Nick Nidale Niefred Nife 
Nigel Night Nightstalker Nikki Nikoli 
Nikpal Nikrolin Niktohal Nile Nilnot 
Nilyn Nimaminanon Nimbara Nimlad Nimue 
Niraya Niro Nismen Nizra Nobath 
Nockmaar Noford Nogen Noke Nolan 
Nolo Nome Noname Nony Noos 
Nophalis Nordri Nore Norse Norv 
Norvi Noss Nota Nothar Notlbrob 
Notty Nuckle Nucky Nuky Nunoo-Quarcoo 
Nura Nuria Nuthor Nutsy Nuwolf 
Nydale Nym Nymira Nyota Nyrlol 
Nysty Nythil O'Bryon Ocarin Occelot 
Occhi Ochala Odana Odaren Odeir 
Oden Odoacer Odona Odyaseus Odyss 
Oele Oelita Ofeva Ofton Og 
Ogardus Ogen Ogien Ogrus Ogyvan 
Ohethlic Oil Oilli Okar Oke 
Okle Olath Olaxtin Olen Olgen 
Oliat Olidi Olissa Olivia Olix 
Olomorn Olotin Olsa Omaniron Omarn 
Omournil Omsell Onathe Onbrawst Ondola 
Onnan Onrine Onulion Onyx Oolndiana 
Opal Ophelia Ophra Opimius Opshun 
Optima Orabias Oran Oranius Orard 
Orbal Orbin Ord Ordelle Ordred 
Org Orgalan Orgen Orgorgan Orin 
Orion Orken Orlina Orloft Orm 
Ormay Ormiss Orms Oron Orsay 
Orsen Ort Ortho Orton Orwyne 
Osen Oshawal Osondrea Ospar Osprey 
Osten Otaiy Othelen Othkar Otho 
Othran Otlen Otsuka Otto Ottobien 
Ount Ovel Owain Owin Oxbaren 
Ozorak Otho Pack Padan Padishah 
Padrias Padricus Padys Paeld Pagetti 
Palid Pallantides Paloadrin Palomides Palus 
Papur Parale Parch Pardor Parele 
Parellus Parse Parser Parthinia Pascent 
Pascheine Patch Path Pathcines Patnas 
Patnos Patrel Patter Paul Pearl 
Peash Pedro Peener Peeple Peetrie 
Pefergg Peirce Peitar Pela Pellar 
Pelles Pelops Pelphides Pelthros Pemba 
Pender Pendragon Pendus Pengarth Pensif 
Pepin Pepita Pepsi Peramee Perder 
Peredon Peregrin Pereta Pereth Perith 
Periel Perle Perol Peronn Peter 
Pethcines Pethros Pethsine Petita Petrad 
Petroman Petter Phairdon Phames Phara 
Phardir Pharysene Pheblon Phemedes Phen 
Phendin Phera Phexides Phife Philadona 
Philth Phira Phlith Phlunk Phoenix 
Phornel Picard Picceppa Picon Pictal 
Picti Picumar Pidla Piedad Pietten 
Pigly Pildoor Pildor Pilo Pilon 
Pine Pip Pippin Pirouetta Pitchblend 
Pitchblende Piter Pixdale Plaiglos Pochos 
Pock Pod Pogenthoni Polonius Polor 
Polson Ponile Ponith Poran Porchos 
Porib Porix Portan Portolis Poscidion 
Postolis Poyna Prageur Prageus Prak 
Prataxis Praxiteles Prayad Pren Pridgit 
Prinice Prisane Pristess Pronos Prothal 
Prothalon Proxar Prunt Prush Pryderi 
Prysala Prytani Ptosphes Puck Puhl 
Pulsur Punit Punk Puno Purple 
Puthor Pwyll Pyder Pythagoras Pythe 
Pytrigon Qadir Qaiyum Qatar Qeisan 
Qeylargo Qidan Quaan Quadran Quana 
Quanan Quasee Quernister Quezo Quiad 
Quickens Quickfoot Quickhand Quid Quidia 
Quihanna Quike Quillan Quine Quinn 
Quintilius Quintus Quirrel Quiss Quix 
Qunlac Quolamin Qupar Qurak Qwaylar 
Qwine Qysan Qara Qpala Racer 
Rach Rachel Radag'mal Radcliff Radridge 
Rael Ragar Rager Ragnarson Ragon 
Ragons Rahasli Rak Rakash Ralegeal 
Ralibe Ramen Ramous Ramrod Ranabas 
Rand Randar Randolf Random Ranem 
Ranon Ransisc Ransus Raphael Rarson 
Rason Rasputin Rastolnik Rath Rathia 
Rathisa Raus Rave Raven'sBow Ravenkin 
Ravenor Raver Ravisher Raysdan Rayth 
Raziel Razzia Razo Reaper Reave 
Reaver Recom Recoun Recy Red 
Redknob Redthorn Redwine Redynvar Reevur 
Reggian Regin Regnar Rehhaile Reisoun 
Relkinthrin Relo Relos Rematus Rembas 
Rentham Resboron Reskind Ressa Ret 
